,createdAt,Luftdruck,Temperatur,UV-Intensität,rel. Luftfeuchte
206,2024-05-22 19:40:12.875000+00:00,1000.41,17.46,0.0,71.26
207,2024-05-22 19:41:12.961000+00:00,1000.42,17.48,0.0,71.03
208,2024-05-22 19:42:13.170000+00:00,1000.43,,0.0,
209,2024-05-22 19:43:13.283000+00:00,1000.45,,0.0,
210,2024-05-22 19:44:13.348000+00:00,1000.47,,0.0,
211,2024-05-22 19:45:15.719000+00:00,1000.49,,0.0,
212,2024-05-22 19:46:14.226000+00:00,1000.5,,0.0,
213,2024-05-22 19:47:13.827000+00:00,1000.51,,0.0,
214,2024-05-22 19:48:13.958000+00:00,,,0.0,
215,2024-05-22 19:49:13.889000+00:00,,17.23,0.0,
216,2024-05-22 19:50:13.928000+00:00,,17.21,0.0,
217,2024-05-22 19:51:14.095000+00:00,,17.15,0.0,72.61
218,2024-05-22 19:52:14.170000+00:00,,17.14,0.0,72.61
219,2024-05-22 19:53:14.784000+00:00,,17.15,0.0,72.51
220,2024-05-22 19:54:14.448000+00:00,,17.22,0.0,72.51
221,2024-05-22 19:55:14.549000+00:00,,17.15,0.0,72.51
222,2024-05-22 19:56:14.616000+00:00,1000.7,17.12,0.0,72.71
223,2024-05-22 19:57:14.842000+00:00,1000.72,17.14,0.0,72.61
224,2024-05-22 19:58:14.926000+00:00,1000.73,17.16,0.0,72.41
225,2024-05-22 19:59:15.087000+00:00,1000.74,17.19,0.0,
226,2024-05-22 20:00:15.075000+00:00,1000.74,17.21,0.0,72.41
227,2024-05-22 20:01:15.233000+00:00,,,0.0,72.61
228,2024-05-22 20:02:15.372000+00:00,,17.01,0.0,73.02
229,2024-05-22 20:03:15.552000+00:00,,16.98,0.0,73.15
230,2024-05-22 20:04:15.654000+00:00,,17.0,0.0,73.25
231,2024-05-22 20:05:16.790000+00:00,,17.06,0.0,72.91
232,2024-05-22 20:06:15.847000+00:00,,17.08,0.0,73.11
233,2024-05-22 20:07:15.965000+00:00,,17.12,0.0,72.81
234,2024-05-22 20:08:16.046000+00:00,,17.12,0.0,
235,2024-05-22 20:09:16.163000+00:00,1000.82,,0.0,
236,2024-05-22 20:10:16.216000+00:00,1000.84,,0.0,
237,2024-05-22 20:11:16.366000+00:00,1000.84,17.04,0.0,
238,2024-05-22 20:12:16.402000+00:00,1000.84,16.98,0.0,73.25
239,2024-05-22 20:13:16.496000+00:00,1000.83,16.97,0.0,73.35
240,2024-05-22 20:14:16.591000+00:00,1000.83,16.98,0.0,73.35
241,2024-05-22 20:15:16.659000+00:00,1000.83,16.98,0.0,73.46
242,2024-05-22 20:16:16.827000+00:00,1000.83,,0.0,73.35
243,2024-05-22 20:17:16.970000+00:00,1000.83,16.91,0.0,73.86
244,2024-05-22 20:18:17.278000+00:00,1000.84,16.91,0.0,73.86
245,2024-05-22 20:19:17.226000+00:00,1000.86,16.82,0.0,
246,2024-05-22 20:20:17.277000+00:00,1000.87,16.85,0.0,73.96
247,2024-05-22 20:21:17.430000+00:00,,16.93,0.0,73.55
248,2024-05-22 20:22:17.574000+00:00,1000.9,16.96,0.0,73.55
249,2024-05-22 20:23:17.796000+00:00,1000.92,16.89,0.0,73.66
250,2024-05-22 20:24:18.729000+00:00,1000.94,16.89,0.0,73.75
251,2024-05-22 20:25:17.963000+00:00,1000.96,16.83,0.0,73.96
252,2024-05-22 20:26:18.091000+00:00,1000.98,16.88,0.0,73.66
253,2024-05-22 20:27:18.238000+00:00,,16.93,0.0,73.55
254,2024-05-22 20:28:18.408000+00:00,,,0.0,73.55
255,2024-05-22 20:29:18.482000+00:00,,,0.0,
256,2024-05-22 20:30:18.548000+00:00,,,0.0,
257,2024-05-22 20:31:18.609000+00:00,,,0.0,
258,2024-05-22 20:32:18.846000+00:00,,,0.0,
259,2024-05-22 20:33:19.239000+00:00,,,0.0,74.16
260,2024-05-22 20:34:19.045000+00:00,,16.68,0.0,74.5
261,2024-05-22 20:35:22.381000+00:00,,16.75,0.0,74.19
262,2024-05-22 20:36:19.279000+00:00,,16.79,0.0,74.16
263,2024-05-22 20:37:19.451000+00:00,1001.11,16.73,0.0,74.3
264,2024-05-22 20:38:19.538000+00:00,1001.11,16.67,0.0,74.5
265,2024-05-22 20:39:27.715000+00:00,1001.12,16.66,0.0,74.7
266,2024-05-22 20:40:20.781000+00:00,1001.12,16.64,0.0,74.7
267,2024-05-22 20:41:19.862000+00:00,1001.12,16.64,0.0,74.7
268,2024-05-22 20:42:20.024000+00:00,1001.13,16.61,0.0,74.6
269,2024-05-22 20:43:20.099000+00:00,1001.14,,0.0,
270,2024-05-22 20:44:21.689000+00:00,1001.15,,0.0,
271,2024-05-22 20:45:20.729000+00:00,1001.15,16.64,0.0,74.5
272,2024-05-22 20:46:21.244000+00:00,1001.14,16.52,0.0,74.94
273,2024-05-22 20:47:20.639000+00:00,1001.14,16.48,0.0,75.04
274,2024-05-22 20:48:20.758000+00:00,1001.14,16.45,0.0,75.24
275,2024-05-22 20:49:20.748000+00:00,1001.15,16.43,0.0,75.34
276,2024-05-22 20:50:23.773000+00:00,1001.14,,0.0,75.24
277,2024-05-22 20:51:21.928000+00:00,,,0.0,75.34
278,2024-05-22 20:52:21.203000+00:00,,,0.0,
279,2024-05-22 20:53:21.325000+00:00,,,0.0,
